Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score
Customer Support,Female,48,Analyst,2016-10-22 08:03:05.556036,7,Bachelor,2,4800.0,52,10,28,12,100,10,0,1,1.86
Engineering,Female,36,Analyst,2021-07-23 08:03:05.556036,3,Bachelor,2,4800.0,38,11,29,13,100,15,9,1,1.25
Engineering,Male,27,Analyst,2014-10-14 08:03:05.556036,9,Bachelor,4,5600.0,33,30,5,13,25,4,26,1,1.46
Finance,Male,46,Analyst,2023-03-11 08:03:05.556036,1,Master,1,4400.0,33,49,13,1,100,13,37,1,2.22
HR,Female,38,Analyst,2018-06-23 08:03:05.556036,6,Bachelor,2,4800.0,50,21,24,11,25,7,49,1,4.43
Finance,Male,52,Analyst,2023-06-21 08:03:05.556036,1,High School,3,5200.0,45,25,29,9,25,2,37,2,4.95
Customer Support,Male,29,Analyst,2024-06-13 08:03:05.556036,0,High School,2,4800.0,48,49,16,14,50,17,37,0,4.43
Marketing,Male,41,Analyst,2019-05-23 08:03:05.556036,5,Master,4,5600.0,34,13,0,10,75,14,36,1,1.94
Engineering,Female,42,Analyst,2023-07-17 08:03:05.556036,1,Master,4,5600.0,53,1,16,11,50,11,15,2,3.55
Engineering,Male,46,Analyst,2021-06-23 08:03:05.556036,3,Bachelor,2,4800.0,35,24,10,13,0,4,85,0,1.33
HR,Female,28,Analyst,2016-03-23 08:03:05.556036,8,Master,1,4400.0,53,38,22,14,100,17,67,2,2.17
Finance,Male,39,Analyst,2018-11-06 08:03:05.556036,5,Bachelor,1,4400.0,31,5,25,12,75,3,34,0,3.51
Customer Support,Female,56,Analyst,2021-04-26 08:03:05.556036,3,Bachelor,5,6000.0,43,5,29,8,100,11,96,0,2.47
Sales,Male,23,Analyst,2021-10-06 08:03:05.556036,2,Bachelor,5,6000.0,56,28,29,1,0,12,94,0,3.03
Legal,Female,35,Analyst,2017-01-11 08:03:05.556036,7,Bachelor,2,4800.0,46,21,17,2,25,6,9,1,1.25
Engineering,Female,23,Analyst,2019-01-15 08:03:05.556036,5,Bachelor,2,4800.0,35,20,11,1,25,13,16,1,3.61
Customer Support,Female,54,Analyst,2017-02-19 08:03:05.556036,7,High School,3,5200.0,48,49,27,3,75,11,64,2,1.82
Sales,Male,58,Analyst,2016-11-10 08:03:05.556036,7,Master,3,5200.0,56,26,25,6,100,14,34,2,4.55
Finance,Female,55,Analyst,2021-03-19 08:03:05.556036,3,Bachelor,1,4400.0,57,17,21,12,100,6,92,0,3.0
Operations,Female,39,Analyst,2015-07-16 08:03:05.556036,9,Bachelor,1,4400.0,55,45,14,5,50,7,11,2,3.34
Legal,Male,31,Analyst,2016-11-18 08:03:05.556036,7,Bachelor,5,6000.0,49,48,25,0,25,19,93,0,1.97
Customer Support,Female,30,Analyst,2024-05-05 08:03:05.556036,0,Bachelor,2,4800.0,56,48,21,1,100,2,42,2,3.85
