Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score
Finance,Male,29,Developer,2024-04-18 08:03:05.556036,0,High School,5,7500.0,34,34,13,14,100,12,61,2,1.72
Customer Support,Male,26,Developer,2023-04-19 08:03:05.556036,1,High School,2,6000.0,33,41,9,13,50,3,46,1,2.42
Sales,Other,28,Developer,2022-11-08 08:03:05.556036,1,High School,3,6500.0,47,36,6,12,75,12,54,0,1.19
Customer Support,Other,56,Developer,2015-10-01 08:03:05.556036,8,Bachelor,1,5500.0,57,9,24,1,75,1,36,0,1.12
Customer Support,Female,46,Developer,2021-03-03 08:03:05.556036,3,Master,2,6000.0,58,7,29,3,25,12,4,1,2.53
Operations,Other,57,Developer,2020-01-24 08:03:05.556036,4,High School,2,6000.0,53,10,19,13,50,3,15,0,1.47
HR,Male,40,Developer,2017-03-21 08:03:05.556036,7,Bachelor,2,6000.0,46,9,12,8,25,10,18,1,1.43
Marketing,Female,34,Developer,2021-11-25 08:03:05.556036,2,Bachelor,3,6500.0,41,18,21,3,75,8,7,0,1.7
Finance,Male,23,Developer,2019-07-21 08:03:05.556036,5,Bachelor,4,7000.0,32,42,8,12,0,3,27,2,3.97
IT,Female,42,Developer,2023-01-13 08:03:05.556036,1,High School,1,5500.0,53,20,13,8,100,8,75,1,4.49
Sales,Female,33,Developer,2023-01-08 08:03:05.556036,1,Bachelor,2,6000.0,36,42,15,1,0,5,41,0,1.31
Legal,Female,47,Developer,2020-01-18 08:03:05.556036,4,Bachelor,2,6000.0,37,6,15,1,0,12,8,1,4.98
Sales,Male,28,Developer,2020-10-17 08:03:05.556036,3,Master,5,7500.0,42,28,6,6,25,1,38,1,3.55
Legal,Female,55,Developer,2024-05-07 08:03:05.556036,0,Master,3,6500.0,38,12,25,6,100,13,94,0,3.75
Operations,Male,52,Developer,2015-07-06 08:03:05.556036,9,High School,1,5500.0,47,4,19,10,0,19,33,0,4.36
