Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score
Finance,Male,29,Developer,2024-04-18 08:03:05.556036,0,High School,5,7500.0,34,34,13,14,100,12,61,2,1.72
Finance,Male,55,Specialist,2015-10-26 08:03:05.556036,8,High School,3,5850.0,37,27,6,3,50,10,1,0,3.17
Finance,Male,46,Analyst,2023-03-11 08:03:05.556036,1,Master,1,4400.0,33,49,13,1,100,13,37,1,2.22
Finance,Male,23,Technician,2015-05-08 08:03:05.556036,9,High School,2,4200.0,52,0,9,1,0,5,66,0,3.91
Finance,Male,26,Specialist,2016-07-23 08:03:05.556036,8,High School,4,6300.0,48,40,9,13,0,13,71,2,3.68
Finance,Male,45,Engineer,2021-07-12 08:03:05.556036,3,Bachelor,2,7200.0,59,24,23,6,0,7,26,1,3.16
Finance,Male,52,Analyst,2023-06-21 08:03:05.556036,1,High School,3,5200.0,45,25,29,9,25,2,37,2,4.95
Finance,Male,23,Developer,2019-07-21 08:03:05.556036,5,Bachelor,4,7000.0,32,42,8,12,0,3,27,2,3.97
Finance,Female,27,Engineer,2023-11-06 08:03:05.556036,0,Master,2,7200.0,31,1,25,5,0,15,22,1,2.08
Finance,Male,50,Manager,2023-11-09 08:03:05.556036,0,High School,4,8400.0,54,9,29,7,25,15,3,2,3.66
Finance,Female,38,Manager,2015-12-31 08:03:05.556036,8,High School,3,7800.0,41,31,12,10,75,9,64,0,4.2
Finance,Female,45,Engineer,2017-12-29 08:03:05.556036,6,High School,4,8400.0,35,0,18,14,75,17,48,0,3.42
Finance,Male,39,Analyst,2018-11-06 08:03:05.556036,5,Bachelor,1,4400.0,31,5,25,12,75,3,34,0,3.51
Finance,Male,29,Specialist,2021-07-10 08:03:05.556036,3,Bachelor,3,5850.0,47,15,6,1,25,11,65,0,4.37
Finance,Male,46,Consultant,2014-11-04 08:03:05.556036,9,Bachelor,4,7700.0,35,31,19,7,75,14,19,0,1.14
Finance,Male,38,Technician,2018-11-01 08:03:05.556036,5,High School,2,4200.0,34,24,23,0,100,12,22,0,1.12
Finance,Female,55,Analyst,2021-03-19 08:03:05.556036,3,Bachelor,1,4400.0,57,17,21,12,100,6,92,0,3.0
Finance,Male,44,Technician,2023-01-19 08:03:05.556036,1,Bachelor,5,5250.0,32,46,15,14,50,19,29,0,1.78
Finance,Male,22,Developer,2015-03-28 08:03:05.556036,9,Bachelor,2,6000.0,52,23,17,3,25,6,50,2,3.63
Finance,Female,33,Technician,2015-01-15 08:03:05.556036,9,Bachelor,3,4550.0,38,30,1,11,75,9,56,2,2.69
Finance,Male,54,Specialist,2020-01-01 08:03:05.556036,4,Bachelor,1,4950.0,59,2,22,3,0,4,99,0,3.94
Finance,Male,45,Analyst,2014-09-21 08:03:05.556036,9,Bachelor,5,6000.0,30,12,14,9,100,8,26,1,2.41
Finance,Female,57,Analyst,2022-02-25 08:03:05.556036,2,Master,4,5600.0,58,38,10,6,25,14,58,0,4.13
Finance,Female,27,Manager,2022-10-09 08:03:05.556036,1,High School,4,8400.0,56,27,19,4,75,8,90,2,1.53
Finance,Male,33,Developer,2018-06-28 08:03:05.556036,6,High School,2,6000.0,39,38,28,9,25,1,33,2,3.42
Finance,Male,31,Developer,2015-11-06 08:03:05.556036,8,Bachelor,1,5500.0,38,29,24,10,25,15,76,0,3.39
Finance,Male,34,Analyst,2015-08-08 08:03:05.556036,9,Bachelor,5,6000.0,50,37,21,6,0,14,66,0,4.91
