Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score
HR,Male,51,Technician,2019-07-04 08:03:05.556036,5,Bachelor,4,4900.0,31,11,16,1,75,7,17,2,2.13
HR,Female,38,Analyst,2018-06-23 08:03:05.556036,6,Bachelor,2,4800.0,50,21,24,11,25,7,49,1,4.43
HR,Female,42,Engineer,2019-10-12 08:03:05.556036,4,Master,5,9000.0,31,9,18,11,100,8,21,1,4.21
HR,Female,58,Engineer,2023-04-11 08:03:05.556036,1,Bachelor,5,9000.0,44,2,2,8,100,14,85,1,4.22
HR,Female,29,Specialist,2016-06-12 08:03:05.556036,8,High School,2,5400.0,31,19,11,6,75,7,90,1,1.59
HR,Male,32,Technician,2021-04-03 08:03:05.556036,3,Bachelor,4,4900.0,41,19,26,1,75,5,21,2,1.27
HR,Male,40,Developer,2017-03-21 08:03:05.556036,7,Bachelor,2,6000.0,46,9,12,8,25,10,18,1,1.43
HR,Male,39,Consultant,2024-08-14 08:03:05.556036,0,Bachelor,2,6600.0,53,10,17,14,50,3,64,2,2.45
HR,Female,33,Consultant,2024-04-29 08:03:05.556036,0,High School,2,6600.0,31,6,24,10,75,10,1,1,1.39
HR,Female,28,Analyst,2016-03-23 08:03:05.556036,8,Master,1,4400.0,53,38,22,14,100,17,67,2,2.17
HR,Female,22,Developer,2020-12-17 08:03:05.556036,3,Bachelor,4,7000.0,34,8,17,12,100,16,1,0,2.8
HR,Male,32,Technician,2023-12-17 08:03:05.556036,0,Bachelor,5,5250.0,52,14,28,5,25,17,34,0,2.87
HR,Male,32,Technician,2019-09-13 08:03:05.556036,4,Bachelor,5,5250.0,56,35,20,10,0,16,41,2,2.04
HR,Female,54,Consultant,2017-05-13 08:03:05.556036,7,Bachelor,3,7150.0,40,2,7,8,100,18,99,1,3.79
HR,Female,57,Manager,2023-07-27 08:03:05.556036,1,Bachelor,4,8400.0,35,37,7,10,100,5,59,2,4.38
HR,Female,37,Analyst,2016-03-17 08:03:05.556036,8,Bachelor,4,5600.0,46,18,0,9,0,10,12,0,2.32
HR,Male,44,Technician,2022-07-30 08:03:05.556036,2,High School,1,3850.0,37,9,8,11,75,5,15,2,1.49
HR,Female,55,Analyst,2021-02-04 08:03:05.556036,3,Bachelor,5,6000.0,43,14,22,6,75,17,42,2,3.45
HR,Female,38,Technician,2017-12-01 08:03:05.556036,6,High School,1,3850.0,32,39,2,2,50,14,40,1,1.25
HR,Female,25,Engineer,2014-09-14 08:03:05.556036,9,Bachelor,5,9000.0,45,47,18,7,25,15,69,0,1.66
HR,Female,39,Technician,2023-01-02 08:03:05.556036,1,Master,5,5250.0,57,3,28,5,0,17,29,2,4.33
HR,Female,45,Manager,2020-05-28 08:03:05.556036,4,Bachelor,5,9000.0,48,9,7,1,100,3,65,1,4.79
HR,Female,43,Analyst,2021-05-12 08:03:05.556036,3,Bachelor,2,4800.0,57,36,5,4,100,19,37,1,4.81
HR,Female,31,Specialist,2019-06-17 08:03:05.556036,5,Bachelor,3,5850.0,59,19,22,6,75,3,78,0,3.3
HR,Female,26,Developer,2017-09-24 08:03:05.556036,6,Master,2,6000.0,59,39,7,1,0,10,9,0,4.97
HR,Female,22,Consultant,2023-01-29 08:03:05.556036,1,High School,4,7700.0,58,19,25,9,100,15,58,2,3.36
HR,Female,40,Consultant,2022-02-12 08:03:05.556036,2,High School,3,7150.0,56,10,29,13,50,15,21,2,3.99
HR,Male,57,Developer,2023-11-25 08:03:05.556036,0,Bachelor,4,7000.0,30,24,9,9,100,5,74,2,3.21
HR,Female,50,Technician,2019-04-12 08:03:05.556036,5,High School,4,4900.0,39,46,0,7,75,6,3,1,4.09
HR,Female,54,Analyst,2019-04-05 08:03:05.556036,5,Bachelor,3,5200.0,50,15,9,3,100,4,97,2,3.72
HR,Male,48,Consultant,2021-05-14 08:03:05.556036,3,Master,3,7150.0,39,7,28,0,75,2,57,0,1.14
HR,Male,43,Engineer,2019-01-03 08:03:05.556036,5,Bachelor,1,6600.0,54,10,27,4,75,5,32,0,4.88
HR,Female,27,Developer,2020-07-31 08:03:05.556036,4,High School,1,5500.0,54,10,14,0,0,8,94,2,2.31
HR,Male,50,Engineer,2023-08-27 08:03:05.556036,1,High School,2,7200.0,54,42,26,12,25,6,42,1,3.92
HR,Female,43,Analyst,2016-05-14 08:03:05.556036,8,Bachelor,1,4400.0,55,9,16,13,75,18,80,0,1.08
HR,Male,39,Consultant,2022-08-14 08:03:05.556036,2,High School,4,7700.0,56,34,9,7,100,4,60,0,1.17
HR,Male,40,Analyst,2021-10-14 08:03:05.556036,2,PhD,2,4800.0,42,30,10,5,50,16,24,2,3.01
HR,Male,25,Engineer,2020-07-07 08:03:05.556036,4,High School,2,7200.0,60,30,23,13,50,4,12,1,2.0
HR,Male,39,Consultant,2017-09-05 08:03:05.556036,7,Bachelor,5,8250.0,37,26,18,9,100,16,12,1,2.13
HR,Male,30,Analyst,2020-11-01 08:03:05.556036,3,Master,4,5600.0,58,36,17,0,0,9,7,2,4.33
HR,Male,39,Manager,2016-04-30 08:03:05.556036,8,Bachelor,4,8400.0,51,27,5,13,25,14,10,1,1.81
HR,Male,47,Manager,2022-03-10 08:03:05.556036,2,High School,3,7800.0,53,0,1,7,25,10,5,1,1.2
HR,Male,32,Analyst,2018-06-06 08:03:05.556036,6,Bachelor,2,4800.0,43,37,25,14,0,2,10,0,1.81
HR,Male,59,Consultant,2020-05-16 08:03:05.556036,4,Bachelor,3,7150.0,33,35,15,6,0,8,80,1,2.18
HR,Other,56,Technician,2016-05-01 08:03:05.556036,8,Bachelor,5,5250.0,51,27,2,9,75,3,87,0,3.83
HR,Female,50,Consultant,2016-04-23 08:03:05.556036,8,High School,5,8250.0,38,37,2,0,0,14,15,2,3.04
HR,Female,28,Engineer,2021-05-04 08:03:05.556036,3,Bachelor,1,6600.0,30,3,11,9,75,4,6,0,2.82
HR,Male,32,Developer,2020-09-02 08:03:05.556036,4,Bachelor,3,6500.0,35,36,0,5,100,18,68,0,3.43
