Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score
IT,Male,55,Specialist,2022-01-19 08:03:05.556036,2,High School,5,6750.0,33,32,22,2,0,14,66,0,2.63
IT,Male,43,Manager,2016-08-14 08:03:05.556036,8,High School,3,7800.0,46,31,8,0,100,15,95,0,2.77
IT,Male,37,Technician,2023-08-28 08:03:05.556036,1,Bachelor,5,5250.0,55,20,29,2,0,16,27,0,4.46
IT,Male,48,Specialist,2022-02-03 08:03:05.556036,2,Bachelor,1,4950.0,46,7,1,1,0,11,6,1,2.66
IT,Female,42,Developer,2023-01-13 08:03:05.556036,1,High School,1,5500.0,53,20,13,8,100,8,75,1,4.49
IT,Male,43,Technician,2023-09-08 08:03:05.556036,0,Bachelor,2,4200.0,48,33,4,7,25,12,75,2,4.8
IT,Male,38,Consultant,2016-06-10 08:03:05.556036,8,PhD,4,7700.0,54,44,17,3,0,1,81,1,4.2
IT,Female,27,Manager,2020-01-22 08:03:05.556036,4,Bachelor,5,9000.0,49,12,27,10,25,19,4,1,2.87
IT,Male,28,Engineer,2020-11-03 08:03:05.556036,3,High School,3,7800.0,46,4,12,7,0,1,36,2,1.39
IT,Female,31,Technician,2017-08-01 08:03:05.556036,7,Master,1,3850.0,59,3,13,0,50,13,78,2,4.75
IT,Female,43,Specialist,2022-02-15 08:03:05.556036,2,High School,2,5400.0,54,14,8,9,25,11,97,2,4.01
IT,Female,45,Analyst,2021-04-10 08:03:05.556036,3,Bachelor,2,4800.0,57,28,26,2,50,15,85,0,1.48
IT,Female,52,Developer,2019-04-08 08:03:05.556036,5,Bachelor,1,5500.0,44,40,28,14,50,12,56,0,3.23
IT,Male,42,Consultant,2020-12-11 08:03:05.556036,3,Bachelor,4,7700.0,47,29,3,9,75,14,7,2,3.62
IT,Female,47,Analyst,2021-10-05 08:03:05.556036,2,Bachelor,2,4800.0,38,44,4,3,50,11,31,2,1.04
IT,Female,32,Specialist,2021-12-25 08:03:05.556036,2,Bachelor,4,6300.0,55,46,26,11,0,9,87,2,4.82
IT,Male,35,Consultant,2017-10-29 08:03:05.556036,6,Bachelor,1,6050.0,59,44,23,4,0,17,25,0,3.76
IT,Male,52,Manager,2020-07-18 08:03:05.556036,4,Master,4,8400.0,39,30,29,7,0,17,18,1,2.68
IT,Female,34,Technician,2017-12-14 08:03:05.556036,6,PhD,5,5250.0,40,24,17,6,0,5,4,0,4.18
IT,Female,54,Manager,2017-07-12 08:03:05.556036,7,Bachelor,2,7200.0,59,6,11,1,100,17,32,2,4.08
IT,Female,52,Manager,2016-12-04 08:03:05.556036,7,Bachelor,3,7800.0,39,4,20,2,0,9,57,0,1.54
IT,Male,26,Technician,2022-09-22 08:03:05.556036,1,Bachelor,4,4900.0,33,21,8,7,75,8,12,0,2.64
IT,Female,41,Technician,2018-06-18 08:03:05.556036,6,High School,4,4900.0,53,45,24,1,50,19,75,2,3.91
IT,Male,26,Manager,2021-05-12 08:03:05.556036,3,High School,5,9000.0,36,30,9,10,0,7,3,1,1.62
IT,Female,28,Consultant,2021-11-12 08:03:05.556036,2,Master,2,6600.0,50,26,6,8,75,12,83,2,2.63
IT,Female,26,Developer,2020-09-11 08:03:05.556036,3,Bachelor,4,7000.0,55,44,23,3,50,6,89,2,3.08
IT,Female,30,Specialist,2022-01-20 08:03:05.556036,2,Master,5,6750.0,45,6,13,0,75,12,92,2,1.82
IT,Female,23,Developer,2016-03-12 08:03:05.556036,8,High School,2,6000.0,44,36,14,9,50,7,89,2,2.82
IT,Male,25,Specialist,2020-09-05 08:03:05.556036,4,Bachelor,3,5850.0,45,1,1,3,25,18,40,1,1.56
IT,Male,30,Developer,2015-07-09 08:03:05.556036,9,High School,3,6500.0,41,22,1,2,0,16,41,1,2.31
IT,Male,52,Analyst,2020-02-16 08:03:05.556036,4,Bachelor,2,4800.0,55,47,28,12,25,15,51,1,4.39
IT,Female,30,Developer,2020-10-17 08:03:05.556036,3,High School,2,6000.0,34,14,16,11,25,4,9,1,4.93
IT,Male,42,Specialist,2018-08-10 08:03:05.556036,6,PhD,3,5850.0,32,7,24,8,50,8,94,2,1.89
IT,Female,30,Developer,2018-09-28 08:03:05.556036,5,PhD,2,6000.0,37,0,23,7,75,15,48,0,1.62
IT,Male,50,Manager,2023-11-17 08:03:05.556036,0,Bachelor,2,7200.0,31,23,27,9,25,18,4,2,2.94
IT,Male,53,Technician,2023-10-15 08:03:05.556036,0,PhD,4,4900.0,45,36,14,3,0,5,7,1,2.35
IT,Male,33,Developer,2019-08-10 08:03:05.556036,5,Bachelor,4,7000.0,45,21,28,1,75,5,68,1,3.47
IT,Male,26,Manager,2014-11-23 08:03:05.556036,9,High School,4,8400.0,48,31,3,7,75,5,62,1,3.06
IT,Male,40,Specialist,2018-05-30 08:03:05.556036,6,Master,3,5850.0,30,15,13,2,75,10,35,2,3.39
IT,Female,47,Developer,2022-06-18 08:03:05.556036,2,Bachelor,4,7000.0,40,7,15,5,75,10,22,0,1.59
IT,Female,27,Engineer,2015-03-18 08:03:05.556036,9,Bachelor,4,8400.0,51,2,2,1,50,19,64,0,3.03
IT,Male,37,Consultant,2018-01-03 08:03:05.556036,6,High School,5,8250.0,31,35,0,0,75,3,42,2,4.28
IT,Male,57,Engineer,2016-08-08 08:03:05.556036,8,PhD,4,8400.0,49,30,26,2,25,11,39,0,2.17
IT,Female,48,Specialist,2017-07-06 08:03:05.556036,7,High School,2,5400.0,34,16,6,0,0,4,97,1,2.47
IT,Female,31,Specialist,2023-06-12 08:03:05.556036,1,High School,5,6750.0,31,13,9,8,75,18,90,0,2.24
IT,Female,46,Specialist,2015-10-18 08:03:05.556036,8,Bachelor,2,5400.0,60,6,18,11,25,10,74,0,3.36
IT,Male,50,Consultant,2015-11-30 08:03:05.556036,8,High School,3,7150.0,44,25,5,2,75,11,30,1,2.31
IT,Female,52,Specialist,2019-11-30 08:03:05.556036,4,Bachelor,2,5400.0,40,1,8,12,75,9,77,2,2.7
IT,Male,49,Developer,2023-12-28 08:03:05.556036,0,High School,2,6000.0,44,46,13,3,0,5,14,0,1.82
IT,Female,39,Developer,2021-08-27 08:03:05.556036,3,High School,3,6500.0,40,48,20,9,50,2,64,1,2.76
IT,Male,27,Developer,2023-12-30 08:03:05.556036,0,Master,5,7500.0,30,16,5,1,0,3,95,2,4.72
IT,Female,35,Engineer,2024-06-04 08:03:05.556036,0,Master,4,8400.0,49,1,3,12,75,10,75,0,3.7
IT,Female,40,Consultant,2023-12-04 08:03:05.556036,0,Master,2,6600.0,59,29,7,7,25,8,23,0,4.08
IT,Female,26,Manager,2018-04-13 08:03:05.556036,6,High School,3,7800.0,43,4,14,14,50,5,82,1,2.85
IT,Female,33,Engineer,2019-06-14 08:03:05.556036,5,PhD,5,9000.0,50,45,17,0,0,11,16,0,1.32
IT,Female,35,Technician,2018-05-08 08:03:05.556036,6,Bachelor,3,4550.0,37,30,3,6,50,15,73,1,3.84
IT,Female,37,Developer,2016-10-04 08:03:05.556036,7,High School,5,7500.0,39,16,25,8,25,16,64,2,1.56
IT,Male,35,Engineer,2018-09-08 08:03:05.556036,5,High School,4,8400.0,43,39,6,11,25,4,11,1,3.58
IT,Male,37,Manager,2015-07-09 08:03:05.556036,9,Bachelor,4,8400.0,35,2,20,3,50,14,55,0,2.37
IT,Female,37,Technician,2019-10-08 08:03:05.556036,4,PhD,4,4900.0,48,10,19,2,75,9,10,1,2.13
IT,Female,53,Developer,2016-11-25 08:03:05.556036,7,High School,2,6000.0,41,1,27,10,0,11,67,2,4.5
IT,Male,46,Manager,2017-04-01 08:03:05.556036,7,High School,3,7800.0,57,37,6,0,0,11,25,2,3.2
