Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score
IT,Male,43,Manager,2016-08-14 08:03:05.556036,8,High School,3,7800.0,46,31,8,0,100,15,95,0,2.77
Operations,Female,33,Manager,2022-12-19 08:03:05.556036,1,Bachelor,1,6600.0,33,28,13,13,50,15,53,2,3.7
Sales,Male,59,Manager,2017-05-25 08:03:05.556036,7,Master,5,9000.0,30,22,9,2,25,4,20,0,4.66
Legal,Female,24,Manager,2023-06-12 08:03:05.556036,1,High School,4,8400.0,39,25,7,7,50,18,22,0,1.95
Marketing,Female,43,Manager,2021-05-21 08:03:05.556036,3,High School,3,7800.0,43,25,2,3,0,7,85,0,3.32
Customer Support,Female,54,Manager,2019-09-05 08:03:05.556036,5,Bachelor,1,6600.0,51,17,19,8,50,5,99,1,3.02
Sales,Male,27,Manager,2018-05-23 08:03:05.556036,6,Bachelor,3,7800.0,44,29,12,0,75,18,73,1,2.26
Sales,Male,49,Manager,2017-01-03 08:03:05.556036,7,Master,2,7200.0,55,30,19,0,75,19,93,0,4.26
Sales,Male,52,Manager,2015-11-26 08:03:05.556036,8,Master,1,6600.0,32,2,13,11,25,16,8,0,4.45
Customer Support,Female,39,Manager,2018-01-19 08:03:05.556036,6,Bachelor,4,8400.0,33,11,10,2,100,9,53,0,3.22
Finance,Male,50,Manager,2023-11-09 08:03:05.556036,0,High School,4,8400.0,54,9,29,7,25,15,3,2,3.66
Finance,Female,38,Manager,2015-12-31 08:03:05.556036,8,High School,3,7800.0,41,31,12,10,75,9,64,0,4.2
Customer Support,Male,46,Manager,2021-09-13 08:03:05.556036,2,Bachelor,4,8400.0,36,1,6,9,50,17,10,0,2.94
Legal,Male,26,Manager,2021-04-30 08:03:05.556036,3,High School,5,9000.0,33,4,15,3,75,17,44,2,3.24
IT,Female,27,Manager,2020-01-22 08:03:05.556036,4,Bachelor,5,9000.0,49,12,27,10,25,19,4,1,2.87
Operations,Female,44,Manager,2015-08-12 08:03:05.556036,9,Bachelor,4,8400.0,53,11,28,5,0,12,60,1,4.47
