Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score
Sales,Other,28,Developer,2022-11-08 08:03:05.556036,1,High School,3,6500.0,47,36,6,12,75,12,54,0,1.19
Sales,Male,59,Manager,2017-05-25 08:03:05.556036,7,Master,5,9000.0,30,22,9,2,25,4,20,0,4.66
Sales,Male,58,Consultant,2018-01-21 08:03:05.556036,6,Master,2,6600.0,55,2,28,8,25,6,78,2,4.26
Sales,Female,25,Engineer,2021-09-11 08:03:05.556036,2,PhD,4,8400.0,44,26,24,8,75,18,37,2,2.1
Sales,Male,43,Consultant,2024-04-04 08:03:05.556036,0,High School,2,6600.0,53,42,10,2,0,16,18,1,4.97
Sales,Other,46,Consultant,2015-01-13 08:03:05.556036,9,Master,2,6600.0,31,6,15,7,0,2,48,0,2.47
Sales,Male,27,Manager,2018-05-23 08:03:05.556036,6,Bachelor,3,7800.0,44,29,12,0,75,18,73,1,2.26
Sales,Female,41,Specialist,2018-11-19 08:03:05.556036,5,Bachelor,1,4950.0,41,37,13,9,75,5,3,0,4.33
Sales,Male,49,Manager,2017-01-03 08:03:05.556036,7,Master,2,7200.0,55,30,19,0,75,19,93,0,4.26
Sales,Male,52,Manager,2015-11-26 08:03:05.556036,8,Master,1,6600.0,32,2,13,11,25,16,8,0,4.45
Sales,Female,33,Developer,2023-01-08 08:03:05.556036,1,Bachelor,2,6000.0,36,42,15,1,0,5,41,0,1.31
Sales,Male,28,Developer,2020-10-17 08:03:05.556036,3,Master,5,7500.0,42,28,6,6,25,1,38,1,3.55
Sales,Male,24,Developer,2019-11-15 08:03:05.556036,4,Bachelor,2,6000.0,50,33,0,9,0,13,37,1,4.39
Sales,Male,56,Consultant,2018-08-02 08:03:05.556036,6,Bachelor,1,6050.0,51,24,2,11,75,3,82,1,2.7
Sales,Male,36,Consultant,2018-09-23 08:03:05.556036,5,High School,5,8250.0,50,32,28,5,50,9,56,0,1.64
Sales,Male,31,Consultant,2022-06-16 08:03:05.556036,2,Bachelor,2,6600.0,59,27,22,6,100,1,44,2,1.74
Sales,Other,29,Engineer,2020-05-27 08:03:05.556036,4,Bachelor,1,6600.0,39,10,25,1,100,1,66,2,1.61
Sales,Male,23,Analyst,2021-10-06 08:03:05.556036,2,Bachelor,5,6000.0,56,28,29,1,0,12,94,0,3.03
Sales,Male,58,Analyst,2016-11-10 08:03:05.556036,7,Master,3,5200.0,56,26,25,6,100,14,34,2,4.55
Sales,Male,25,Manager,2023-06-04 08:03:05.556036,1,Bachelor,4,8400.0,35,10,10,0,50,1,51,1,1.02
Sales,Female,30,Specialist,2020-05-18 08:03:05.556036,4,High School,3,5850.0,50,29,23,9,75,12,47,2,3.49
Sales,Male,36,Manager,2018-06-04 08:03:05.556036,6,High School,4,8400.0,51,44,1,6,50,12,78,1,1.14
Sales,Male,48,Technician,2018-05-28 08:03:05.556036,6,Bachelor,4,4900.0,33,26,29,4,75,5,21,1,2.47
Sales,Female,53,Specialist,2020-10-03 08:03:05.556036,3,Master,1,4950.0,30,21,20,4,75,2,29,1,1.49
Sales,Female,44,Manager,2014-12-31 08:03:05.556036,9,PhD,5,9000.0,53,0,11,7,25,13,65,2,4.9
