Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score
IT,Male,37,Technician,2023-08-28 08:03:05.556036,1,Bachelor,5,5250.0,55,20,29,2,0,16,27,0,4.46
Marketing,Female,55,Technician,2023-06-29 08:03:05.556036,1,High School,2,4200.0,51,23,21,14,0,1,0,1,1.44
Customer Support,Male,27,Technician,2015-02-19 08:03:05.556036,9,Bachelor,5,5250.0,39,13,2,13,25,5,88,0,1.96
HR,Male,51,Technician,2019-07-04 08:03:05.556036,5,Bachelor,4,4900.0,31,11,16,1,75,7,17,2,2.13
Finance,Male,23,Technician,2015-05-08 08:03:05.556036,9,High School,2,4200.0,52,0,9,1,0,5,66,0,3.91
HR,Male,32,Technician,2021-04-03 08:03:05.556036,3,Bachelor,4,4900.0,41,19,26,1,75,5,21,2,1.27
Engineering,Female,37,Technician,2015-10-24 08:03:05.556036,8,High School,2,4200.0,50,22,0,8,100,1,92,1,1.1
Legal,Male,37,Technician,2024-07-16 08:03:05.556036,0,Bachelor,4,4900.0,54,32,4,3,25,2,12,1,2.13
Customer Support,Male,31,Technician,2017-05-24 08:03:05.556036,7,PhD,3,4550.0,32,46,19,0,50,19,82,0,3.2
Marketing,Male,55,Technician,2019-11-14 08:03:05.556036,4,PhD,3,4550.0,59,1,9,1,25,17,59,2,1.77
Marketing,Male,52,Technician,2019-07-05 08:03:05.556036,5,Bachelor,2,4200.0,33,45,2,4,50,18,12,0,1.11
Customer Support,Female,55,Technician,2019-05-21 08:03:05.556036,5,High School,1,3850.0,58,1,1,0,0,4,29,1,2.3
IT,Male,43,Technician,2023-09-08 08:03:05.556036,0,Bachelor,2,4200.0,48,33,4,7,25,12,75,2,4.8
Legal,Female,30,Technician,2017-05-07 08:03:05.556036,7,Master,4,4900.0,34,14,12,8,25,2,59,0,4.5
HR,Male,32,Technician,2023-12-17 08:03:05.556036,0,Bachelor,5,5250.0,52,14,28,5,25,17,34,0,2.87
Finance,Male,38,Technician,2018-11-01 08:03:05.556036,5,High School,2,4200.0,34,24,23,0,100,12,22,0,1.12
IT,Female,31,Technician,2017-08-01 08:03:05.556036,7,Master,1,3850.0,59,3,13,0,50,13,78,2,4.75
Marketing,Female,54,Technician,2014-09-22 08:03:05.556036,9,High School,5,5250.0,37,49,22,14,100,6,21,2,4.44
Legal,Female,41,Technician,2015-06-21 08:03:05.556036,9,Master,1,3850.0,31,36,21,12,100,6,98,0,4.04
HR,Male,32,Technician,2019-09-13 08:03:05.556036,4,Bachelor,5,5250.0,56,35,20,10,0,16,41,2,2.04
Finance,Male,44,Technician,2023-01-19 08:03:05.556036,1,Bachelor,5,5250.0,32,46,15,14,50,19,29,0,1.78
Legal,Female,34,Technician,2019-10-22 08:03:05.556036,4,High School,5,5250.0,50,22,26,2,25,5,49,2,2.59
Customer Support,Other,48,Technician,2018-02-28 08:03:05.556036,6,Bachelor,2,4200.0,52,21,8,13,50,19,79,2,1.3
Sales,Male,48,Technician,2018-05-28 08:03:05.556036,6,Bachelor,4,4900.0,33,26,29,4,75,5,21,1,2.47
Finance,Female,33,Technician,2015-01-15 08:03:05.556036,9,Bachelor,3,4550.0,38,30,1,11,75,9,56,2,2.69
HR,Male,44,Technician,2022-07-30 08:03:05.556036,2,High School,1,3850.0,37,9,8,11,75,5,15,2,1.49
HR,Female,38,Technician,2017-12-01 08:03:05.556036,6,High School,1,3850.0,32,39,2,2,50,14,40,1,1.25
Sales,Female,32,Technician,2015-05-19 08:03:05.556036,9,High School,2,4200.0,46,28,20,2,75,2,29,1,1.45
HR,Female,39,Technician,2023-01-02 08:03:05.556036,1,Master,5,5250.0,57,3,28,5,0,17,29,2,4.33
Marketing,Other,44,Technician,2017-05-26 08:03:05.556036,7,Bachelor,1,3850.0,53,30,3,11,25,15,33,2,3.51
Marketing,Female,24,Technician,2017-03-13 08:03:05.556036,7,Bachelor,4,4900.0,30,33,20,3,25,15,18,0,1.46
Customer Support,Male,35,Technician,2023-01-28 08:03:05.556036,1,High School,3,4550.0,51,28,4,9,50,3,84,1,2.03
Engineering,Male,56,Technician,2015-02-05 08:03:05.556036,9,Bachelor,2,4200.0,38,27,14,6,100,6,20,2,2.7
Sales,Male,26,Technician,2016-01-09 08:03:05.556036,8,Bachelor,5,5250.0,46,39,25,2,100,16,57,1,3.98
Operations,Female,32,Technician,2019-11-12 08:03:05.556036,4,Bachelor,1,3850.0,40,25,10,10,50,16,89,1,1.43
IT,Female,34,Technician,2017-12-14 08:03:05.556036,6,PhD,5,5250.0,40,24,17,6,0,5,4,0,4.18
IT,Male,26,Technician,2022-09-22 08:03:05.556036,1,Bachelor,4,4900.0,33,21,8,7,75,8,12,0,2.64
IT,Female,41,Technician,2018-06-18 08:03:05.556036,6,High School,4,4900.0,53,45,24,1,50,19,75,2,3.91
Finance,Female,53,Technician,2023-06-29 08:03:05.556036,1,Bachelor,2,4200.0,45,6,23,12,100,9,23,1,2.5
HR,Female,50,Technician,2019-04-12 08:03:05.556036,5,High School,4,4900.0,39,46,0,7,75,6,3,1,4.09
Operations,Male,38,Technician,2016-02-25 08:03:05.556036,8,PhD,2,4200.0,51,9,28,1,0,15,45,2,1.74
Sales,Male,31,Technician,2017-06-08 08:03:05.556036,7,Bachelor,4,4900.0,56,19,15,0,0,15,81,1,2.53
Customer Support,Male,46,Technician,2020-07-16 08:03:05.556036,4,Bachelor,5,5250.0,50,18,15,9,0,5,11,1,4.78
Sales,Female,32,Technician,2022-03-25 08:03:05.556036,2,Bachelor,5,5250.0,43,28,10,11,100,3,90,0,3.62
Operations,Male,36,Technician,2018-12-02 08:03:05.556036,5,High School,3,4550.0,44,39,24,12,100,15,35,1,4.75
Marketing,Female,42,Technician,2019-02-03 08:03:05.556036,5,Bachelor,1,3850.0,42,10,23,5,25,4,28,2,1.03
Operations,Female,26,Technician,2014-12-25 08:03:05.556036,9,High School,3,4550.0,33,40,25,1,0,14,43,2,3.79
Finance,Male,35,Technician,2017-01-30 08:03:05.556036,7,Bachelor,3,4550.0,58,11,10,3,25,13,67,2,4.01
Legal,Male,41,Technician,2018-02-18 08:03:05.556036,6,Bachelor,4,4900.0,59,8,27,7,25,6,29,0,3.13
Finance,Male,25,Technician,2017-01-18 08:03:05.556036,7,High School,1,3850.0,52,41,3,2,25,16,12,2,1.53
Marketing,Male,29,Technician,2016-07-11 08:03:05.556036,8,Bachelor,5,5250.0,59,29,16,8,75,5,18,1,3.98
Customer Support,Other,33,Technician,2021-12-29 08:03:05.556036,2,Bachelor,5,5250.0,44,36,19,10,0,1,97,2,2.04
Legal,Female,37,Technician,2020-02-15 08:03:05.556036,4,PhD,5,5250.0,57,1,13,13,25,13,63,0,4.07
Marketing,Male,52,Technician,2017-09-19 08:03:05.556036,6,Master,3,4550.0,55,26,16,3,0,6,43,1,4.59
Marketing,Female,50,Technician,2016-08-31 08:03:05.556036,8,High School,4,4900.0,59,26,5,1,75,18,5,0,1.57
IT,Male,53,Technician,2023-10-15 08:03:05.556036,0,PhD,4,4900.0,45,36,14,3,0,5,7,1,2.35
Marketing,Female,35,Technician,2015-07-01 08:03:05.556036,9,Master,2,4200.0,52,27,3,6,25,11,4,0,4.51
Sales,Female,39,Technician,2019-06-03 08:03:05.556036,5,High School,3,4550.0,57,44,8,2,0,10,58,2,1.22
Customer Support,Male,43,Technician,2023-11-29 08:03:05.556036,0,Bachelor,5,5250.0,59,12,1,5,50,9,20,1,3.86
Customer Support,Male,57,Technician,2018-10-20 08:03:05.556036,5,High School,2,4200.0,51,8,18,8,0,16,98,0,4.27
HR,Other,56,Technician,2016-05-01 08:03:05.556036,8,Bachelor,5,5250.0,51,27,2,9,75,3,87,0,3.83
Operations,Male,31,Technician,2020-03-11 08:03:05.556036,4,High School,1,3850.0,36,19,18,9,100,9,67,1,1.74
Marketing,Female,46,Technician,2018-03-08 08:03:05.556036,6,Bachelor,2,4200.0,45,37,29,5,75,3,89,1,4.06
HR,Female,46,Technician,2021-03-13 08:03:05.556036,3,High School,5,5250.0,59,4,13,7,100,4,29,0,2.4
Sales,Female,55,Technician,2018-05-03 08:03:05.556036,6,High School,4,4900.0,30,12,29,1,25,9,89,2,1.58
Sales,Male,24,Technician,2014-09-08 08:03:05.556036,9,Master,1,3850.0,52,7,23,2,50,18,96,2,2.34
Sales,Female,57,Technician,2022-08-02 08:03:05.556036,2,High School,3,4550.0,49,27,25,13,0,3,20,0,2.8
Operations,Male,33,Technician,2017-06-18 08:03:05.556036,7,Bachelor,5,5250.0,41,26,11,2,75,17,60,0,1.4
Customer Support,Female,26,Technician,2018-07-06 08:03:05.556036,6,High School,5,5250.0,50,5,12,10,100,18,75,1,4.14
Marketing,Male,25,Technician,2015-08-22 08:03:05.556036,9,High School,4,4900.0,30,39,6,14,100,17,47,0,1.12
Sales,Male,40,Technician,2017-09-15 08:03:05.556036,6,Bachelor,3,4550.0,40,17,18,7,75,18,18,2,4.75
Operations,Female,27,Technician,2020-11-20 08:03:05.556036,3,Bachelor,5,5250.0,35,11,16,1,75,6,56,2,1.78
Sales,Male,42,Technician,2018-05-14 08:03:05.556036,6,Bachelor,1,3850.0,59,30,9,5,25,2,2,2,4.73
Sales,Female,43,Technician,2023-10-31 08:03:05.556036,0,Bachelor,1,3850.0,34,42,17,3,25,16,33,2,4.68
Sales,Male,30,Technician,2023-04-19 08:03:05.556036,1,High School,1,3850.0,33,15,20,8,100,18,16,1,3.48
Operations,Male,26,Technician,2016-03-13 08:03:05.556036,8,High School,4,4900.0,50,9,13,9,0,6,29,1,3.24
Engineering,Male,42,Technician,2022-05-29 08:03:05.556036,2,Master,5,5250.0,59,38,23,9,50,11,37,1,2.28
IT,Female,35,Technician,2018-05-08 08:03:05.556036,6,Bachelor,3,4550.0,37,30,3,6,50,15,73,1,3.84
Finance,Female,39,Technician,2016-01-22 08:03:05.556036,8,High School,4,4900.0,60,14,16,10,100,18,19,2,3.26
Customer Support,Male,22,Technician,2019-11-29 08:03:05.556036,4,Master,5,5250.0,50,39,19,0,0,2,19,0,3.6
HR,Female,39,Technician,2018-01-02 08:03:05.556036,6,Bachelor,4,4900.0,59,30,10,8,0,12,59,1,2.18
Customer Support,Female,37,Technician,2018-02-17 08:03:05.556036,6,High School,5,5250.0,36,25,20,13,75,14,87,0,2.19
IT,Female,37,Technician,2019-10-08 08:03:05.556036,4,PhD,4,4900.0,48,10,19,2,75,9,10,1,2.13
Finance,Male,45,Technician,2023-02-15 08:03:05.556036,1,PhD,1,3850.0,31,12,16,4,0,11,99,1,3.37
Operations,Male,46,Technician,2022-02-15 08:03:05.556036,2,High School,5,5250.0,34,26,23,2,25,4,63,0,4.72
Sales,Female,37,Technician,2023-12-13 08:03:05.556036,0,PhD,5,5250.0,33,10,10,13,50,3,48,0,2.06
HR,Female,52,Technician,2023-01-09 08:03:05.556036,1,Master,4,4900.0,57,14,26,1,25,12,66,1,4.82
Sales,Male,48,Technician,2017-09-17 08:03:05.556036,6,Bachelor,4,4900.0,49,9,26,5,50,17,3,2,1.54
Customer Support,Female,42,Technician,2015-12-03 08:03:05.556036,8,Bachelor,4,4900.0,31,26,13,10,0,2,95,2,2.1
Operations,Male,52,Technician,2022-03-19 08:03:05.556036,2,Master,1,3850.0,53,20,7,3,75,14,84,1,3.13
Operations,Female,24,Technician,2020-12-03 08:03:05.556036,3,Master,3,4550.0,50,28,16,8,0,16,44,2,1.52
HR,Female,26,Technician,2024-07-21 08:03:05.556036,0,High School,2,4200.0,47,40,9,9,75,19,31,1,4.82
Legal,Other,51,Technician,2024-08-24 08:03:05.556036,0,High School,4,4900.0,42,7,28,11,0,6,9,0,1.78
Legal,Male,39,Technician,2017-09-13 08:03:05.556036,6,Bachelor,4,4900.0,54,23,15,12,75,1,54,0,1.36
HR,Male,48,Technician,2016-09-10 08:03:05.556036,7,Bachelor,1,3850.0,44,23,28,7,25,17,32,1,2.22
Customer Support,Male,44,Technician,2017-06-06 08:03:05.556036,7,Bachelor,5,5250.0,51,12,13,0,25,7,51,2,3.04
Marketing,Female,26,Technician,2021-07-10 08:03:05.556036,3,Master,2,4200.0,58,35,11,9,75,15,83,0,3.47
Customer Support,Male,45,Technician,2015-10-21 08:03:05.556036,8,Master,1,3850.0,35,5,11,6,25,8,62,2,1.61
Finance,Male,49,Technician,2016-05-22 08:03:05.556036,8,High School,2,4200.0,36,25,15,0,100,13,27,2,1.28
Customer Support,Female,27,Technician,2017-08-18 08:03:05.556036,7,Bachelor,1,3850.0,31,46,25,6,100,6,44,2,4.02
Marketing,Male,27,Technician,2014-09-27 08:03:05.556036,9,High School,3,4550.0,30,37,11,11,0,16,41,1,3.92
Operations,Male,44,Technician,2023-09-27 08:03:05.556036,0,High School,4,4900.0,55,14,20,11,0,7,79,2,1.22
